,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,0.9500000000000002,0.75,1,0,0,0,1,1
0,1.0,0.75,1,0,0,0,1,1
0,-1.0,0.8,1,0,0,0,1,1
0,-0.95,0.8,1,0,0,0,1,1
0,-0.9,0.8,1,0,0,0,1,1
0,-0.85,0.8,1,0,0,0,1,1
0,-0.8,0.8,1,0,0,0,1,1
0,-0.75,0.8,1,0,0,0,1,1
0,-0.7,0.8,1,0,0,0,1,1
0,-0.6499999999999999,0.8,1,0,0,0,1,1
0,-0.6,0.8,1,0,0,0,1,1
0,-0.55,0.8,1,0,0,0,1,1
0,-0.5,0.8,1,0,0,0,1,1
0,-0.44999999999999996,0.8,1,0,0,0,1,1
0,-0.3999999999999999,0.8,1,0,0,0,1,1
0,-0.35,0.8,,0,0,0,1,1
0,-0.29999999999999993,0.8,1,0,0,0,1,1
0,-0.25,0.8,1,0,0,0,1,1
0,-0.19999999999999996,0.8,1,0,0,0,1,1
0,-0.1499999999999999,0.8,1,0,0,0,1,1
0,-0.09999999999999998,0.8,1,0,0,0,1,1
0,-0.04999999999999993,0.8,,0,0,0,1,1
0,0.0,0.8,,0,0,0,1,1
0,0.050000000000000044,0.8,,0,0,0,1,1
0,0.10000000000000009,0.8,,0,0,0,1,1
0,0.15000000000000013,0.8,1,0,0,0,1,1
0,0.20000000000000018,0.8,1,0,0,0,1,1
0,0.25,0.8,1,0,0,0,1,1
0,0.30000000000000004,0.8,,0,0,0,1,1
0,0.3500000000000001,0.8,1,0,0,0,1,1
0,0.40000000000000013,0.8,2,0,0,0,1,1
0,0.4500000000000002,0.8,2,0,0,0,1,1
0,0.5,0.8,1,0,0,0,1,1
0,0.55,0.8,1,0,0,0,1,1
0,0.6000000000000001,0.8,1,0,0,0,1,1
0,0.6500000000000001,0.8,1,0,0,0,1,1
0,0.7000000000000002,0.8,1,0,0,0,1,1
0,0.75,0.8,1,0,0,0,1,1
0,0.8,0.8,1,0,0,0,1,1
0,0.8500000000000001,0.8,1,0,0,0,1,1
0,0.9000000000000001,0.8,1,0,0,0,1,1
0,0.9500000000000002,0.8,1,0,0,0,1,1
0,1.0,0.8,1,0,0,0,1,1
0,-1.0,0.8500000000000001,1,0,0,0,1,1
0,-0.95,0.8500000000000001,1,0,0,0,1,1
0,-0.9,0.8500000000000001,1,0,0,0,1,1
0,-0.85,0.8500000000000001,1,0,0,0,1,1
0,-0.8,0.8500000000000001,1,0,0,0,1,1
0,-0.75,0.8500000000000001,1,0,0,0,1,1
0,-0.7,0.8500000000000001,1,0,0,0,1,1
0,-0.6499999999999999,0.8500000000000001,1,0,0,0,1,1
0,-0.6,0.8500000000000001,1,0,0,0,1,1
0,-0.55,0.8500000000000001,1,0,0,0,1,1
0,-0.5,0.8500000000000001,1,0,0,0,1,1
0,-0.44999999999999996,0.8500000000000001,1,0,0,0,1,1
0,-0.3999999999999999,0.8500000000000001,1,0,0,0,1,1
0,-0.35,0.8500000000000001,,0,0,0,1,1
0,-0.29999999999999993,0.8500000000000001,1,0,0,0,1,1
0,-0.25,0.8500000000000001,1,0,0,0,1,1
0,-0.19999999999999996,0.8500000000000001,1,0,0,0,1,1
0,-0.1499999999999999,0.8500000000000001,1,0,0,0,1,1
0,-0.09999999999999998,0.8500000000000001,1,0,0,0,1,1
0,-0.04999999999999993,0.8500000000000001,,0,0,0,1,1
0,0.0,0.8500000000000001,1,0,0,0,1,1
0,0.050000000000000044,0.8500000000000001,,0,0,0,1,1
0,0.10000000000000009,0.8500000000000001,,0,0,0,1,1
0,0.15000000000000013,0.8500000000000001,1,0,0,0,1,1
0,0.20000000000000018,0.8500000000000001,1,0,0,0,1,1
0,0.25,0.8500000000000001,1,0,0,0,1,1
0,0.30000000000000004,0.8500000000000001,,0,0,0,1,1
0,0.3500000000000001,0.8500000000000001,1,0,0,0,1,1
0,0.40000000000000013,0.8500000000000001,2,0,0,0,1,1
0,0.4500000000000002,0.8500000000000001,2,0,0,0,1,1
0,0.5,0.8500000000000001,1,0,0,0,1,1
0,0.55,0.8500000000000001,1,0,0,0,1,1
0,0.6000000000000001,0.8500000000000001,1,0,0,0,1,1
0,0.6500000000000001,0.8500000000000001,1,0,0,0,1,1
0,0.7000000000000002,0.8500000000000001,1,0,0,0,1,1
0,0.75,0.8500000000000001,1,0,0,0,1,1
0,0.8,0.8500000000000001,1,0,0,0,1,1
0,0.8500000000000001,0.8500000000000001,1,0,0,0,1,1
0,0.9000000000000001,0.8500000000000001,1,0,0,0,1,1
0,0.9500000000000002,0.8500000000000001,1,0,0,0,1,1
0,1.0,0.8500000000000001,1,0,0,0,1,1
0,-1.0,0.9000000000000001,1,0,0,0,1,1
0,-0.95,0.9000000000000001,1,0,0,0,1,1
0,-0.9,0.9000000000000001,1,0,0,0,1,1
0,-0.85,0.9000000000000001,1,0,0,0,1,1
0,-0.8,0.9000000000000001,1,0,0,0,1,1
0,-0.75,0.9000000000000001,1,0,0,0,1,1
0,-0.7,0.9000000000000001,1,0,0,0,1,1
0,-0.6499999999999999,0.9000000000000001,1,0,0,0,1,1
0,-0.6,0.9000000000000001,1,0,0,0,1,1
0,-0.55,0.9000000000000001,1,0,0,0,1,1
0,-0.5,0.9000000000000001,1,0,0,0,1,1
0,-0.44999999999999996,0.9000000000000001,1,0,0,0,1,1
0,-0.3999999999999999,0.9000000000000001,1,0,0,0,1,1
0,-0.35,0.9000000000000001,,0,0,0,1,1
0,-0.29999999999999993,0.9000000000000001,1,0,0,0,1,1
0,-0.25,0.9000000000000001,1,0,0,0,1,1
0,-0.19999999999999996,0.9000000000000001,1,0,0,0,1,1
0,-0.1499999999999999,0.9000000000000001,1,0,0,0,1,1
0,-0.09999999999999998,0.9000000000000001,1,0,0,0,1,1
0,-0.04999999999999993,0.9000000000000001,,0,0,0,1,1
0,0.0,0.9000000000000001,1,0,0,0,1,1
0,0.050000000000000044,0.9000000000000001,,0,0,0,1,1
0,0.10000000000000009,0.9000000000000001,,0,0,0,1,1
0,0.15000000000000013,0.9000000000000001,1,0,0,0,1,1
0,0.20000000000000018,0.9000000000000001,1,0,0,0,1,1
0,0.25,0.9000000000000001,1,0,0,0,1,1
0,0.30000000000000004,0.9000000000000001,,0,0,0,1,1
0,0.3500000000000001,0.9000000000000001,1,0,0,0,1,1
0,0.40000000000000013,0.9000000000000001,2,0,0,0,1,1
0,0.4500000000000002,0.9000000000000001,2,0,0,0,1,1
0,0.5,0.9000000000000001,1,0,0,0,1,1
0,0.55,0.9000000000000001,1,0,0,0,1,1
0,0.6000000000000001,0.9000000000000001,1,0,0,0,1,1
0,0.6500000000000001,0.9000000000000001,1,0,0,0,1,1
0,0.7000000000000002,0.9000000000000001,1,0,0,0,1,1
0,0.75,0.9000000000000001,1,0,0,0,1,1
0,0.8,0.9000000000000001,1,0,0,0,1,1
0,0.8500000000000001,0.9000000000000001,1,0,0,0,1,1
0,0.9000000000000001,0.9000000000000001,1,0,0,0,1,1
0,0.9500000000000002,0.9000000000000001,1,0,0,0,1,1
0,1.0,0.9000000000000001,1,0,0,0,1,1
0,-1.0,0.9500000000000002,1,0,0,0,1,1
0,-0.95,0.9500000000000002,1,0,0,0,1,1
0,-0.9,0.9500000000000002,1,0,0,0,1,1
0,-0.85,0.9500000000000002,1,0,0,0,1,1
0,-0.8,0.9500000000000002,1,0,0,0,1,1
0,-0.75,0.9500000000000002,1,0,0,0,1,1
0,-0.7,0.9500000000000002,1,0,0,0,1,1
0,-0.6499999999999999,0.9500000000000002,1,0,0,0,1,1
0,-0.6,0.9500000000000002,1,0,0,0,1,1
0,-0.55,0.9500000000000002,1,0,0,0,1,1
0,-0.5,0.9500000000000002,1,0,0,0,1,1
0,-0.44999999999999996,0.9500000000000002,1,0,0,0,1,1
0,-0.3999999999999999,0.9500000000000002,,0,0,0,1,1
0,-0.35,0.9500000000000002,,0,0,0,1,1
0,-0.29999999999999993,0.9500000000000002,1,0,0,0,1,1
0,-0.25,0.9500000000000002,1,0,0,0,1,1
0,-0.19999999999999996,0.9500000000000002,1,0,0,0,1,1
0,-0.1499999999999999,0.9500000000000002,1,0,0,0,1,1
0,-0.09999999999999998,0.9500000000000002,1,0,0,0,1,1
0,-0.04999999999999993,0.9500000000000002,1,0,0,0,1,1
0,0.0,0.9500000000000002,1,0,0,0,1,1
0,0.050000000000000044,0.9500000000000002,,0,0,0,1,1
0,0.10000000000000009,0.9500000000000002,,0,0,0,1,1
0,0.15000000000000013,0.9500000000000002,1,0,0,0,1,1
0,0.20000000000000018,0.9500000000000002,1,0,0,0,1,1
0,0.25,0.9500000000000002,1,0,0,0,1,1
0,0.30000000000000004,0.9500000000000002,,0,0,0,1,1
0,0.3500000000000001,0.9500000000000002,1,0,0,0,1,1
0,0.40000000000000013,0.9500000000000002,2,0,0,0,1,1
0,0.4500000000000002,0.9500000000000002,2,0,0,0,1,1
0,0.5,0.9500000000000002,2,0,0,0,1,1
0,0.55,0.9500000000000002,1,0,0,0,1,1
0,0.6000000000000001,0.9500000000000002,1,0,0,0,1,1
0,0.6500000000000001,0.9500000000000002,1,0,0,0,1,1
0,0.7000000000000002,0.9500000000000002,1,0,0,0,1,1
0,0.75,0.9500000000000002,1,0,0,0,1,1
0,0.8,0.9500000000000002,1,0,0,0,1,1
0,0.8500000000000001,0.9500000000000002,1,0,0,0,1,1
0,0.9000000000000001,0.9500000000000002,1,0,0,0,1,1
0,0.9500000000000002,0.9500000000000002,1,0,0,0,1,1
0,1.0,0.9500000000000002,1,0,0,0,1,1
0,-1.0,1.0,1,0,0,0,1,1
0,-0.95,1.0,1,0,0,0,1,1
0,-0.9,1.0,1,0,0,0,1,1
0,-0.85,1.0,1,0,0,0,1,1
0,-0.8,1.0,1,0,0,0,1,1
0,-0.75,1.0,1,0,0,0,1,1
0,-0.7,1.0,1,0,0,0,1,1
0,-0.6499999999999999,1.0,1,0,0,0,1,1
0,-0.6,1.0,1,0,0,0,1,1
0,-0.55,1.0,1,0,0,0,1,1
0,-0.5,1.0,1,0,0,0,1,1
0,-0.44999999999999996,1.0,1,0,0,0,1,1
0,-0.3999999999999999,1.0,,0,0,0,1,1
0,-0.35,1.0,,0,0,0,1,1
0,-0.29999999999999993,1.0,1,0,0,0,1,1
0,-0.25,1.0,1,0,0,0,1,1
0,-0.19999999999999996,1.0,1,0,0,0,1,1
0,-0.1499999999999999,1.0,1,0,0,0,1,1
0,-0.09999999999999998,1.0,1,0,0,0,1,1
0,-0.04999999999999993,1.0,1,0,0,0,1,1
0,0.0,1.0,1,0,0,0,1,1
0,0.050000000000000044,1.0,,0,0,0,1,1
0,0.10000000000000009,1.0,,0,0,0,1,1
0,0.15000000000000013,1.0,1,0,0,0,1,1
0,0.20000000000000018,1.0,1,0,0,0,1,1
0,0.25,1.0,1,0,0,0,1,1
0,0.30000000000000004,1.0,,0,0,0,1,1
0,0.3500000000000001,1.0,1,0,0,0,1,1
0,0.40000000000000013,1.0,2,0,0,0,1,1
0,0.4500000000000002,1.0,2,0,0,0,1,1
0,0.5,1.0,2,0,0,0,1,1
0,0.55,1.0,1,0,0,0,1,1
0,0.6000000000000001,1.0,1,0,0,0,1,1
0,0.6500000000000001,1.0,1,0,0,0,1,1
0,0.7000000000000002,1.0,1,0,0,0,1,1
0,0.75,1.0,1,0,0,0,1,1
0,0.8,1.0,1,0,0,0,1,1
0,0.8500000000000001,1.0,1,0,0,0,1,1
0,0.9000000000000001,1.0,1,0,0,0,1,1
0,0.9500000000000002,1.0,1,0,0,0,1,1
0,1.0,1.0,1,0,0,0,1,1
