,I_e,I_i,stability,turing,p_random,p_down,wavenumber
0,1.4222222222222225,0.48888888888888893,1,0,1,1,
0,1.4222222222222225,0.5333333333333332,1,0,1,1,
0,1.4222222222222225,0.577777777777778,1,0,1,1,
0,1.4222222222222225,0.6222222222222222,1,0,1,1,
0,1.4222222222222225,0.666666666666667,1,0,1,1,
0,1.4222222222222225,0.7111111111111112,1,0,1,1,
0,1.4222222222222225,0.7555555555555555,1,0,1,1,
0,1.4222222222222225,0.8000000000000003,1,0,1,1,
0,1.4222222222222225,0.8444444444444446,1,0,1,1,
0,1.4222222222222225,0.8888888888888888,1,0,1,1,
0,1.4222222222222225,0.9333333333333336,1,0,1,1,
0,1.4222222222222225,0.9777777777777779,1,0,1,1,
0,1.4222222222222225,1.0222222222222221,1,0,1,1,
0,1.4222222222222225,1.0666666666666669,1,0,1,1,
0,1.4222222222222225,1.1111111111111112,1,0,1,1,
0,1.4222222222222225,1.155555555555556,1,0,1,1,
0,1.4222222222222225,1.2000000000000002,1,0,1,1,
0,1.4222222222222225,1.2444444444444445,1,0,1,1,
0,1.4222222222222225,1.2888888888888892,1,0,1,1,
0,1.4222222222222225,1.3333333333333335,1,0,1,1,
0,1.4222222222222225,1.3777777777777778,1,0,1,1,
0,1.4222222222222225,1.4222222222222225,1,0,1,1,
0,1.4222222222222225,1.4666666666666668,1,0,1,1,
0,1.4222222222222225,1.511111111111111,1,0,1,1,
0,1.4222222222222225,1.5555555555555558,1,0,1,1,
0,1.4222222222222225,1.6,1,0,1,1,
0,1.4222222222222225,1.6444444444444444,1,0,1,1,
0,1.4222222222222225,1.688888888888889,1,0,1,1,
0,1.4222222222222225,1.7333333333333334,1,0,1,1,
0,1.4222222222222225,1.7777777777777781,1,0,1,1,
0,1.4222222222222225,1.8222222222222224,1,0,1,1,
0,1.4222222222222225,1.8666666666666667,1,0,1,1,
0,1.4222222222222225,1.9111111111111114,1,0,1,1,
0,1.4222222222222225,1.9555555555555557,1,0,1,1,
0,1.4222222222222225,2.0,1,0,1,1,
0,1.4666666666666668,-2.0,1,0,1,1,
0,1.4666666666666668,-1.9555555555555555,1,0,1,1,
0,1.4666666666666668,-1.9111111111111112,1,0,1,1,
0,1.4666666666666668,-1.8666666666666667,1,0,1,1,
0,1.4666666666666668,-1.8222222222222222,1,0,1,1,
0,1.4666666666666668,-1.7777777777777777,1,0,1,1,
0,1.4666666666666668,-1.7333333333333334,1,0,1,1,
0,1.4666666666666668,-1.6888888888888889,1,0,1,1,
0,1.4666666666666668,-1.6444444444444444,1,0,1,1,
0,1.4666666666666668,-1.6,1,0,1,1,
0,1.4666666666666668,-1.5555555555555556,1,0,1,1,
0,1.4666666666666668,-1.511111111111111,1,0,1,1,
0,1.4666666666666668,-1.4666666666666668,1,0,1,1,
0,1.4666666666666668,-1.422222222222222,1,0,1,1,
0,1.4666666666666668,-1.3777777777777778,1,0,1,1,
0,1.4666666666666668,-1.3333333333333333,1,0,1,1,
0,1.4666666666666668,-1.2888888888888888,1,0,1,1,
0,1.4666666666666668,-1.2444444444444445,1,0,1,1,
0,1.4666666666666668,-1.2,1,0,1,1,
0,1.4666666666666668,-1.1555555555555554,1,0,1,1,
0,1.4666666666666668,-1.1111111111111112,1,0,1,1,
0,1.4666666666666668,-1.0666666666666667,1,0,1,1,
0,1.4666666666666668,-1.0222222222222221,1,0,1,1,
0,1.4666666666666668,-0.9777777777777776,1,0,1,1,
0,1.4666666666666668,-0.9333333333333333,1,0,1,1,
0,1.4666666666666668,-0.8888888888888888,1,0,1,1,
0,1.4666666666666668,-0.8444444444444443,1,0,1,1,
0,1.4666666666666668,-0.8,1,0,1,1,
0,1.4666666666666668,-0.7555555555555555,1,0,1,1,
0,1.4666666666666668,-0.711111111111111,1,0,1,1,
0,1.4666666666666668,-0.6666666666666665,1,0,1,1,
0,1.4666666666666668,-0.6222222222222222,1,0,1,1,
0,1.4666666666666668,-0.5777777777777777,1,0,1,1,
0,1.4666666666666668,-0.5333333333333332,1,0,1,1,
0,1.4666666666666668,-0.48888888888888893,1,0,1,1,
0,1.4666666666666668,-0.4444444444444444,1,0,1,1,
0,1.4666666666666668,-0.3999999999999999,1,0,1,1,
0,1.4666666666666668,-0.3555555555555554,1,0,1,1,
0,1.4666666666666668,-0.3111111111111111,1,0,1,1,
0,1.4666666666666668,-0.2666666666666666,1,0,1,1,
0,1.4666666666666668,-0.2222222222222221,1,0,1,1,
0,1.4666666666666668,-0.1777777777777778,1,0,1,1,
0,1.4666666666666668,-0.1333333333333333,1,0,1,1,
0,1.4666666666666668,-0.0888888888888888,1,0,1,1,
0,1.4666666666666668,-0.04444444444444429,1,0,1,1,
0,1.4666666666666668,0.0,1,0,1,1,
0,1.4666666666666668,0.04444444444444473,1,0,1,1,
0,1.4666666666666668,0.08888888888888902,1,0,1,1,
0,1.4666666666666668,0.1333333333333333,1,0,1,1,
0,1.4666666666666668,0.17777777777777803,1,0,1,1,
0,1.4666666666666668,0.22222222222222232,1,0,1,1,
0,1.4666666666666668,0.2666666666666666,1,0,1,1,
0,1.4666666666666668,0.31111111111111134,1,0,1,1,
0,1.4666666666666668,0.3555555555555556,1,0,1,1,
0,1.4666666666666668,0.3999999999999999,1,0,1,1,
0,1.4666666666666668,0.44444444444444464,1,0,1,1,
0,1.4666666666666668,0.48888888888888893,1,0,1,1,
0,1.4666666666666668,0.5333333333333332,1,0,1,1,
0,1.4666666666666668,0.577777777777778,1,0,1,1,
0,1.4666666666666668,0.6222222222222222,1,0,1,1,
0,1.4666666666666668,0.666666666666667,1,0,1,1,
0,1.4666666666666668,0.7111111111111112,1,0,1,1,
0,1.4666666666666668,0.7555555555555555,1,0,1,1,
0,1.4666666666666668,0.8000000000000003,1,0,1,1,
0,1.4666666666666668,0.8444444444444446,1,0,1,1,
0,1.4666666666666668,0.8888888888888888,1,0,1,1,
0,1.4666666666666668,0.9333333333333336,1,0,1,1,
0,1.4666666666666668,0.9777777777777779,1,0,1,1,
0,1.4666666666666668,1.0222222222222221,1,0,1,1,
0,1.4666666666666668,1.0666666666666669,1,0,1,1,
0,1.4666666666666668,1.1111111111111112,1,0,1,1,
0,1.4666666666666668,1.155555555555556,1,0,1,1,
0,1.4666666666666668,1.2000000000000002,1,0,1,1,
0,1.4666666666666668,1.2444444444444445,1,0,1,1,
0,1.4666666666666668,1.2888888888888892,1,0,1,1,
0,1.4666666666666668,1.3333333333333335,1,0,1,1,
0,1.4666666666666668,1.3777777777777778,1,0,1,1,
0,1.4666666666666668,1.4222222222222225,1,0,1,1,
0,1.4666666666666668,1.4666666666666668,1,0,1,1,
0,1.4666666666666668,1.511111111111111,1,0,1,1,
0,1.4666666666666668,1.5555555555555558,1,0,1,1,
0,1.4666666666666668,1.6,1,0,1,1,
0,1.4666666666666668,1.6444444444444444,1,0,1,1,
0,1.4666666666666668,1.688888888888889,1,0,1,1,
0,1.4666666666666668,1.7333333333333334,1,0,1,1,
0,1.4666666666666668,1.7777777777777781,1,0,1,1,
0,1.4666666666666668,1.8222222222222224,1,0,1,1,
0,1.4666666666666668,1.8666666666666667,1,0,1,1,
0,1.4666666666666668,1.9111111111111114,1,0,1,1,
0,1.4666666666666668,1.9555555555555557,1,0,1,1,
0,1.4666666666666668,2.0,1,0,1,1,
0,1.511111111111111,-2.0,1,0,1,1,
0,1.511111111111111,-1.9555555555555555,1,0,1,1,
0,1.511111111111111,-1.9111111111111112,1,0,1,1,
0,1.511111111111111,-1.8666666666666667,1,0,1,1,
0,1.511111111111111,-1.8222222222222222,1,0,1,1,
0,1.511111111111111,-1.7777777777777777,1,0,1,1,
0,1.511111111111111,-1.7333333333333334,1,0,1,1,
0,1.511111111111111,-1.6888888888888889,1,0,1,1,
0,1.511111111111111,-1.6444444444444444,1,0,1,1,
0,1.511111111111111,-1.6,1,0,1,1,
0,1.511111111111111,-1.5555555555555556,1,0,1,1,
0,1.511111111111111,-1.511111111111111,1,0,1,1,
0,1.511111111111111,-1.4666666666666668,1,0,1,1,
0,1.511111111111111,-1.422222222222222,1,0,1,1,
0,1.511111111111111,-1.3777777777777778,1,0,1,1,
0,1.511111111111111,-1.3333333333333333,1,0,1,1,
0,1.511111111111111,-1.2888888888888888,1,0,1,1,
0,1.511111111111111,-1.2444444444444445,1,0,1,1,
0,1.511111111111111,-1.2,1,0,1,1,
0,1.511111111111111,-1.1555555555555554,1,0,1,1,
0,1.511111111111111,-1.1111111111111112,1,0,1,1,
0,1.511111111111111,-1.0666666666666667,1,0,1,1,
0,1.511111111111111,-1.0222222222222221,1,0,1,1,
0,1.511111111111111,-0.9777777777777776,1,0,1,1,
0,1.511111111111111,-0.9333333333333333,1,0,1,1,
0,1.511111111111111,-0.8888888888888888,1,0,1,1,
0,1.511111111111111,-0.8444444444444443,1,0,1,1,
0,1.511111111111111,-0.8,1,0,1,1,
0,1.511111111111111,-0.7555555555555555,1,0,1,1,
0,1.511111111111111,-0.711111111111111,1,0,1,1,
0,1.511111111111111,-0.6666666666666665,1,0,1,1,
0,1.511111111111111,-0.6222222222222222,1,0,1,1,
0,1.511111111111111,-0.5777777777777777,1,0,1,1,
0,1.511111111111111,-0.5333333333333332,1,0,1,1,
0,1.511111111111111,-0.48888888888888893,1,0,1,1,
0,1.511111111111111,-0.4444444444444444,1,0,1,1,
0,1.511111111111111,-0.3999999999999999,1,0,1,1,
0,1.511111111111111,-0.3555555555555554,1,0,1,1,
0,1.511111111111111,-0.3111111111111111,1,0,1,1,
0,1.511111111111111,-0.2666666666666666,1,0,1,1,
0,1.511111111111111,-0.2222222222222221,1,0,1,1,
0,1.511111111111111,-0.1777777777777778,1,0,1,1,
0,1.511111111111111,-0.1333333333333333,1,0,1,1,
0,1.511111111111111,-0.0888888888888888,1,0,1,1,
0,1.511111111111111,-0.04444444444444429,1,0,1,1,
0,1.511111111111111,0.0,1,0,1,1,
0,1.511111111111111,0.04444444444444473,1,0,1,1,
0,1.511111111111111,0.08888888888888902,1,0,1,1,
0,1.511111111111111,0.1333333333333333,1,0,1,1,
0,1.511111111111111,0.17777777777777803,1,0,1,1,
0,1.511111111111111,0.22222222222222232,1,0,1,1,
0,1.511111111111111,0.2666666666666666,1,0,1,1,
0,1.511111111111111,0.31111111111111134,1,0,1,1,
0,1.511111111111111,0.3555555555555556,1,0,1,1,
0,1.511111111111111,0.3999999999999999,1,0,1,1,
0,1.511111111111111,0.44444444444444464,1,0,1,1,
0,1.511111111111111,0.48888888888888893,1,0,1,1,
0,1.511111111111111,0.5333333333333332,1,0,1,1,
0,1.511111111111111,0.577777777777778,1,0,1,1,
0,1.511111111111111,0.6222222222222222,1,0,1,1,
0,1.511111111111111,0.666666666666667,1,0,1,1,
0,1.511111111111111,0.7111111111111112,1,0,1,1,
0,1.511111111111111,0.7555555555555555,1,0,1,1,
0,1.511111111111111,0.8000000000000003,1,0,1,1,
0,1.511111111111111,0.8444444444444446,1,0,1,1,
0,1.511111111111111,0.8888888888888888,1,0,1,1,
0,1.511111111111111,0.9333333333333336,1,0,1,1,
0,1.511111111111111,0.9777777777777779,1,0,1,1,
0,1.511111111111111,1.0222222222222221,1,0,1,1,
0,1.511111111111111,1.0666666666666669,1,0,1,1,
0,1.511111111111111,1.1111111111111112,1,0,1,1,
0,1.511111111111111,1.155555555555556,1,0,1,1,
0,1.511111111111111,1.2000000000000002,1,0,1,1,
0,1.511111111111111,1.2444444444444445,1,0,1,1,
0,1.511111111111111,1.2888888888888892,1,0,1,1,
0,1.511111111111111,1.3333333333333335,1,0,1,1,
0,1.511111111111111,1.3777777777777778,1,0,1,1,
0,1.511111111111111,1.4222222222222225,1,0,1,1,
0,1.511111111111111,1.4666666666666668,1,0,1,1,
0,1.511111111111111,1.511111111111111,1,0,1,1,
0,1.511111111111111,1.5555555555555558,1,0,1,1,
0,1.511111111111111,1.6,1,0,1,1,
0,1.511111111111111,1.6444444444444444,1,0,1,1,
0,1.511111111111111,1.688888888888889,1,0,1,1,
0,1.511111111111111,1.7333333333333334,1,0,1,1,
0,1.511111111111111,1.7777777777777781,1,0,1,1,
0,1.511111111111111,1.8222222222222224,1,0,1,1,
0,1.511111111111111,1.8666666666666667,1,0,1,1,
0,1.511111111111111,1.9111111111111114,1,0,1,1,
0,1.511111111111111,1.9555555555555557,1,0,1,1,
0,1.511111111111111,2.0,1,0,1,1,
0,1.5555555555555558,-2.0,1,0,1,1,
0,1.5555555555555558,-1.9555555555555555,1,0,1,1,
0,1.5555555555555558,-1.9111111111111112,1,0,1,1,
0,1.5555555555555558,-1.8666666666666667,1,0,1,1,
0,1.5555555555555558,-1.8222222222222222,1,0,1,1,
0,1.5555555555555558,-1.7777777777777777,1,0,1,1,
0,1.5555555555555558,-1.7333333333333334,1,0,1,1,
0,1.5555555555555558,-1.6888888888888889,1,0,1,1,
0,1.5555555555555558,-1.6444444444444444,1,0,1,1,
0,1.5555555555555558,-1.6,1,0,1,1,
0,1.5555555555555558,-1.5555555555555556,1,0,1,1,
0,1.5555555555555558,-1.511111111111111,1,0,1,1,
0,1.5555555555555558,-1.4666666666666668,1,0,1,1,
0,1.5555555555555558,-1.422222222222222,1,0,1,1,
0,1.5555555555555558,-1.3777777777777778,1,0,1,1,
0,1.5555555555555558,-1.3333333333333333,1,0,1,1,
0,1.5555555555555558,-1.2888888888888888,1,0,1,1,
0,1.5555555555555558,-1.2444444444444445,1,0,1,1,
0,1.5555555555555558,-1.2,1,0,1,1,
0,1.5555555555555558,-1.1555555555555554,1,0,1,1,
0,1.5555555555555558,-1.1111111111111112,1,0,1,1,
0,1.5555555555555558,-1.0666666666666667,1,0,1,1,
0,1.5555555555555558,-1.0222222222222221,1,0,1,1,
0,1.5555555555555558,-0.9777777777777776,1,0,1,1,
0,1.5555555555555558,-0.9333333333333333,1,0,1,1,
0,1.5555555555555558,-0.8888888888888888,1,0,1,1,
0,1.5555555555555558,-0.8444444444444443,1,0,1,1,
0,1.5555555555555558,-0.8,1,0,1,1,
0,1.5555555555555558,-0.7555555555555555,1,0,1,1,
0,1.5555555555555558,-0.711111111111111,1,0,1,1,
0,1.5555555555555558,-0.6666666666666665,1,0,1,1,
0,1.5555555555555558,-0.6222222222222222,1,0,1,1,
0,1.5555555555555558,-0.5777777777777777,1,0,1,1,
0,1.5555555555555558,-0.5333333333333332,1,0,1,1,
0,1.5555555555555558,-0.48888888888888893,1,0,1,1,
0,1.5555555555555558,-0.4444444444444444,1,0,1,1,
0,1.5555555555555558,-0.3999999999999999,1,0,1,1,
0,1.5555555555555558,-0.3555555555555554,1,0,1,1,
0,1.5555555555555558,-0.3111111111111111,1,0,1,1,
0,1.5555555555555558,-0.2666666666666666,1,0,1,1,
0,1.5555555555555558,-0.2222222222222221,1,0,1,1,
0,1.5555555555555558,-0.1777777777777778,1,0,1,1,
0,1.5555555555555558,-0.1333333333333333,1,0,1,1,
0,1.5555555555555558,-0.0888888888888888,1,0,1,1,
0,1.5555555555555558,-0.04444444444444429,1,0,1,1,
0,1.5555555555555558,0.0,1,0,1,1,
0,1.5555555555555558,0.04444444444444473,1,0,1,1,
0,1.5555555555555558,0.08888888888888902,1,0,1,1,
0,1.5555555555555558,0.1333333333333333,1,0,1,1,
0,1.5555555555555558,0.17777777777777803,1,0,1,1,
0,1.5555555555555558,0.22222222222222232,1,0,1,1,
0,1.5555555555555558,0.2666666666666666,1,0,1,1,
0,1.5555555555555558,0.31111111111111134,1,0,1,1,
0,1.5555555555555558,0.3555555555555556,1,0,1,1,
0,1.5555555555555558,0.3999999999999999,1,0,1,1,
0,1.5555555555555558,0.44444444444444464,1,0,1,1,
0,1.5555555555555558,0.48888888888888893,1,0,1,1,
0,1.5555555555555558,0.5333333333333332,1,0,1,1,
0,1.5555555555555558,0.577777777777778,1,0,1,1,
0,1.5555555555555558,0.6222222222222222,1,0,1,1,
0,1.5555555555555558,0.666666666666667,1,0,1,1,
0,1.5555555555555558,0.7111111111111112,1,0,1,1,
0,1.5555555555555558,0.7555555555555555,1,0,1,1,
0,1.5555555555555558,0.8000000000000003,1,0,1,1,
0,1.5555555555555558,0.8444444444444446,1,0,1,1,
0,1.5555555555555558,0.8888888888888888,1,0,1,1,
0,1.5555555555555558,0.9333333333333336,1,0,1,1,
0,1.5555555555555558,0.9777777777777779,1,0,1,1,
0,1.5555555555555558,1.0222222222222221,1,0,1,1,
0,1.5555555555555558,1.0666666666666669,1,0,1,1,
0,1.5555555555555558,1.1111111111111112,1,0,1,1,
0,1.5555555555555558,1.155555555555556,1,0,1,1,
0,1.5555555555555558,1.2000000000000002,1,0,1,1,
0,1.5555555555555558,1.2444444444444445,1,0,1,1,
0,1.5555555555555558,1.2888888888888892,1,0,1,1,
0,1.5555555555555558,1.3333333333333335,1,0,1,1,
0,1.5555555555555558,1.3777777777777778,1,0,1,1,
0,1.5555555555555558,1.4222222222222225,1,0,1,1,
0,1.5555555555555558,1.4666666666666668,1,0,1,1,
0,1.5555555555555558,1.511111111111111,1,0,1,1,
0,1.5555555555555558,1.5555555555555558,1,0,1,1,
0,1.5555555555555558,1.6,1,0,1,1,
0,1.5555555555555558,1.6444444444444444,1,0,1,1,
0,1.5555555555555558,1.688888888888889,1,0,1,1,
0,1.5555555555555558,1.7333333333333334,1,0,1,1,
0,1.5555555555555558,1.7777777777777781,1,0,1,1,
0,1.5555555555555558,1.8222222222222224,1,0,1,1,
0,1.5555555555555558,1.8666666666666667,1,0,1,1,
0,1.5555555555555558,1.9111111111111114,1,0,1,1,
0,1.5555555555555558,1.9555555555555557,1,0,1,1,
0,1.5555555555555558,2.0,1,0,1,1,
0,1.6,-2.0,1,0,1,1,
0,1.6,-1.9555555555555555,1,0,1,1,
0,1.6,-1.9111111111111112,1,0,1,1,
0,1.6,-1.8666666666666667,1,0,1,1,
0,1.6,-1.8222222222222222,1,0,1,1,
0,1.6,-1.7777777777777777,1,0,1,1,
0,1.6,-1.7333333333333334,1,0,1,1,
0,1.6,-1.6888888888888889,1,0,1,1,
0,1.6,-1.6444444444444444,1,0,1,1,
0,1.6,-1.6,1,0,1,1,
0,1.6,-1.5555555555555556,1,0,1,1,
0,1.6,-1.511111111111111,1,0,1,1,
0,1.6,-1.4666666666666668,1,0,1,1,
0,1.6,-1.422222222222222,1,0,1,1,
0,1.6,-1.3777777777777778,1,0,1,1,
0,1.6,-1.3333333333333333,1,0,1,1,
0,1.6,-1.2888888888888888,1,0,1,1,
0,1.6,-1.2444444444444445,1,0,1,1,
0,1.6,-1.2,1,0,1,1,
0,1.6,-1.1555555555555554,1,0,1,1,
0,1.6,-1.1111111111111112,1,0,1,1,
0,1.6,-1.0666666666666667,1,0,1,1,
0,1.6,-1.0222222222222221,1,0,1,1,
0,1.6,-0.9777777777777776,1,0,1,1,
0,1.6,-0.9333333333333333,1,0,1,1,
0,1.6,-0.8888888888888888,1,0,1,1,
0,1.6,-0.8444444444444443,1,0,1,1,
0,1.6,-0.8,1,0,1,1,
0,1.6,-0.7555555555555555,1,0,1,1,
0,1.6,-0.711111111111111,1,0,1,1,
0,1.6,-0.6666666666666665,1,0,1,1,
0,1.6,-0.6222222222222222,1,0,1,1,
0,1.6,-0.5777777777777777,1,0,1,1,
0,1.6,-0.5333333333333332,1,0,1,1,
0,1.6,-0.48888888888888893,1,0,1,1,
0,1.6,-0.4444444444444444,1,0,1,1,
0,1.6,-0.3999999999999999,1,0,1,1,
0,1.6,-0.3555555555555554,1,0,1,1,
0,1.6,-0.3111111111111111,1,0,1,1,
0,1.6,-0.2666666666666666,1,0,1,1,
0,1.6,-0.2222222222222221,1,0,1,1,
0,1.6,-0.1777777777777778,1,0,1,1,
0,1.6,-0.1333333333333333,1,0,1,1,
0,1.6,-0.0888888888888888,1,0,1,1,
0,1.6,-0.04444444444444429,1,0,1,1,
0,1.6,0.0,1,0,1,1,
0,1.6,0.04444444444444473,1,0,1,1,
0,1.6,0.08888888888888902,1,0,1,1,
0,1.6,0.1333333333333333,1,0,1,1,
0,1.6,0.17777777777777803,1,0,1,1,
0,1.6,0.22222222222222232,1,0,1,1,
0,1.6,0.2666666666666666,1,0,1,1,
0,1.6,0.31111111111111134,1,0,1,1,
0,1.6,0.3555555555555556,1,0,1,1,
0,1.6,0.3999999999999999,1,0,1,1,
0,1.6,0.44444444444444464,1,0,1,1,
0,1.6,0.48888888888888893,1,0,1,1,
0,1.6,0.5333333333333332,1,0,1,1,
0,1.6,0.577777777777778,1,0,1,1,
0,1.6,0.6222222222222222,1,0,1,1,
0,1.6,0.666666666666667,1,0,1,1,
0,1.6,0.7111111111111112,1,0,1,1,
0,1.6,0.7555555555555555,1,0,1,1,
0,1.6,0.8000000000000003,1,0,1,1,
0,1.6,0.8444444444444446,1,0,1,1,
0,1.6,0.8888888888888888,1,0,1,1,
0,1.6,0.9333333333333336,1,0,1,1,
0,1.6,0.9777777777777779,1,0,1,1,
0,1.6,1.0222222222222221,1,0,1,1,
0,1.6,1.0666666666666669,1,0,1,1,
0,1.6,1.1111111111111112,1,0,1,1,
0,1.6,1.155555555555556,1,0,1,1,
0,1.6,1.2000000000000002,1,0,1,1,
0,1.6,1.2444444444444445,1,0,1,1,
0,1.6,1.2888888888888892,1,0,1,1,
0,1.6,1.3333333333333335,1,0,1,1,
0,1.6,1.3777777777777778,1,0,1,1,
0,1.6,1.4222222222222225,1,0,1,1,
0,1.6,1.4666666666666668,1,0,1,1,
0,1.6,1.511111111111111,1,0,1,1,
0,1.6,1.5555555555555558,1,0,1,1,
0,1.6,1.6,1,0,1,1,
0,1.6,1.6444444444444444,1,0,1,1,
0,1.6,1.688888888888889,1,0,1,1,
0,1.6,1.7333333333333334,1,0,1,1,
0,1.6,1.7777777777777781,1,0,1,1,
0,1.6,1.8222222222222224,1,0,1,1,
0,1.6,1.8666666666666667,1,0,1,1,
0,1.6,1.9111111111111114,1,0,1,1,
0,1.6,1.9555555555555557,1,0,1,1,
0,1.6,2.0,1,0,1,1,
0,1.6444444444444444,-2.0,1,0,1,1,
0,1.6444444444444444,-1.9555555555555555,1,0,1,1,
0,1.6444444444444444,-1.9111111111111112,1,0,1,1,
0,1.6444444444444444,-1.8666666666666667,1,0,1,1,
0,1.6444444444444444,-1.8222222222222222,1,0,1,1,
0,1.6444444444444444,-1.7777777777777777,1,0,1,1,
0,1.6444444444444444,-1.7333333333333334,1,0,1,1,
0,1.6444444444444444,-1.6888888888888889,1,0,1,1,
0,1.6444444444444444,-1.6444444444444444,1,0,1,1,
0,1.6444444444444444,-1.6,1,0,1,1,
0,1.6444444444444444,-1.5555555555555556,1,0,1,1,
0,1.6444444444444444,-1.511111111111111,1,0,1,1,
0,1.6444444444444444,-1.4666666666666668,1,0,1,1,
0,1.6444444444444444,-1.422222222222222,1,0,1,1,
0,1.6444444444444444,-1.3777777777777778,1,0,1,1,
0,1.6444444444444444,-1.3333333333333333,1,0,1,1,
0,1.6444444444444444,-1.2888888888888888,1,0,1,1,
0,1.6444444444444444,-1.2444444444444445,1,0,1,1,
0,1.6444444444444444,-1.2,1,0,1,1,
0,1.6444444444444444,-1.1555555555555554,1,0,1,1,
0,1.6444444444444444,-1.1111111111111112,1,0,1,1,
0,1.6444444444444444,-1.0666666666666667,1,0,1,1,
0,1.6444444444444444,-1.0222222222222221,1,0,1,1,
0,1.6444444444444444,-0.9777777777777776,1,0,1,1,
0,1.6444444444444444,-0.9333333333333333,1,0,1,1,
0,1.6444444444444444,-0.8888888888888888,1,0,1,1,
0,1.6444444444444444,-0.8444444444444443,1,0,1,1,
0,1.6444444444444444,-0.8,1,0,1,1,
0,1.6444444444444444,-0.7555555555555555,1,0,1,1,
0,1.6444444444444444,-0.711111111111111,1,0,1,1,
0,1.6444444444444444,-0.6666666666666665,1,0,1,1,
0,1.6444444444444444,-0.6222222222222222,1,0,1,1,
0,1.6444444444444444,-0.5777777777777777,1,0,1,1,
0,1.6444444444444444,-0.5333333333333332,1,0,1,1,
0,1.6444444444444444,-0.48888888888888893,1,0,1,1,
0,1.6444444444444444,-0.4444444444444444,1,0,1,1,
0,1.6444444444444444,-0.3999999999999999,1,0,1,1,
0,1.6444444444444444,-0.3555555555555554,1,0,1,1,
0,1.6444444444444444,-0.3111111111111111,1,0,1,1,
0,1.6444444444444444,-0.2666666666666666,1,0,1,1,
0,1.6444444444444444,-0.2222222222222221,1,0,1,1,
0,1.6444444444444444,-0.1777777777777778,1,0,1,1,
0,1.6444444444444444,-0.1333333333333333,1,0,1,1,
0,1.6444444444444444,-0.0888888888888888,1,0,1,1,
0,1.6444444444444444,-0.04444444444444429,1,0,1,1,
0,1.6444444444444444,0.0,1,0,1,1,
0,1.6444444444444444,0.04444444444444473,1,0,1,1,
0,1.6444444444444444,0.08888888888888902,1,0,1,1,
0,1.6444444444444444,0.1333333333333333,1,0,1,1,
0,1.6444444444444444,0.17777777777777803,1,0,1,1,
0,1.6444444444444444,0.22222222222222232,1,0,1,1,
0,1.6444444444444444,0.2666666666666666,1,0,1,1,
0,1.6444444444444444,0.31111111111111134,1,0,1,1,
0,1.6444444444444444,0.3555555555555556,1,0,1,1,
0,1.6444444444444444,0.3999999999999999,1,0,1,1,
0,1.6444444444444444,0.44444444444444464,1,0,1,1,
0,1.6444444444444444,0.48888888888888893,1,0,1,1,
0,1.6444444444444444,0.5333333333333332,1,0,1,1,
0,1.6444444444444444,0.577777777777778,1,0,1,1,
0,1.6444444444444444,0.6222222222222222,1,0,1,1,
0,1.6444444444444444,0.666666666666667,1,0,1,1,
0,1.6444444444444444,0.7111111111111112,1,0,1,1,
0,1.6444444444444444,0.7555555555555555,1,0,1,1,
0,1.6444444444444444,0.8000000000000003,1,0,1,1,
0,1.6444444444444444,0.8444444444444446,1,0,1,1,
0,1.6444444444444444,0.8888888888888888,1,0,1,1,
0,1.6444444444444444,0.9333333333333336,1,0,1,1,
0,1.6444444444444444,0.9777777777777779,1,0,1,1,
0,1.6444444444444444,1.0222222222222221,1,0,1,1,
0,1.6444444444444444,1.0666666666666669,1,0,1,1,
0,1.6444444444444444,1.1111111111111112,1,0,1,1,
0,1.6444444444444444,1.155555555555556,1,0,1,1,
0,1.6444444444444444,1.2000000000000002,1,0,1,1,
0,1.6444444444444444,1.2444444444444445,1,0,1,1,
0,1.6444444444444444,1.2888888888888892,1,0,1,1,
0,1.6444444444444444,1.3333333333333335,1,0,1,1,
0,1.6444444444444444,1.3777777777777778,1,0,1,1,
0,1.6444444444444444,1.4222222222222225,1,0,1,1,
0,1.6444444444444444,1.4666666666666668,1,0,1,1,
0,1.6444444444444444,1.511111111111111,1,0,1,1,
0,1.6444444444444444,1.5555555555555558,1,0,1,1,
0,1.6444444444444444,1.6,1,0,1,1,
0,1.6444444444444444,1.6444444444444444,1,0,1,1,
0,1.6444444444444444,1.688888888888889,1,0,1,1,
0,1.6444444444444444,1.7333333333333334,1,0,1,1,
0,1.6444444444444444,1.7777777777777781,1,0,1,1,
0,1.6444444444444444,1.8222222222222224,1,0,1,1,
0,1.6444444444444444,1.8666666666666667,1,0,1,1,
0,1.6444444444444444,1.9111111111111114,1,0,1,1,
0,1.6444444444444444,1.9555555555555557,1,0,1,1,
0,1.6444444444444444,2.0,1,0,1,1,
0,1.688888888888889,-2.0,1,0,1,1,
0,1.688888888888889,-1.9555555555555555,1,0,1,1,
0,1.688888888888889,-1.9111111111111112,1,0,1,1,
0,1.688888888888889,-1.8666666666666667,1,0,1,1,
0,1.688888888888889,-1.8222222222222222,1,0,1,1,
0,1.688888888888889,-1.7777777777777777,1,0,1,1,
0,1.688888888888889,-1.7333333333333334,1,0,1,1,
0,1.688888888888889,-1.6888888888888889,1,0,1,1,
0,1.688888888888889,-1.6444444444444444,1,0,1,1,
0,1.688888888888889,-1.6,1,0,1,1,
0,1.688888888888889,-1.5555555555555556,1,0,1,1,
